Date,Close,,,,
05/19/2023,175.16,,,,
05/18/2023,175.05,,,,
05/17/2023,172.69,,,,
05/16/2023,172.07,,,,
05/15/2023,172.07,,,,
5/12/2023,172.57,,,,
5/11/2023,173.75,,,,
5/10/2023,173.56,,,,
5/9/2023,171.77,,,,
5/8/2023,173.5,,,,
5/5/2023,173.57,,,,
5/4/2023,165.79,,,,
5/3/2023,167.45,,,,
5/2/2023,168.54,,,,
5/1/2023,169.59,,,,
04/28/2023,169.68,,,,
04/27/2023,168.41,,,,
04/26/2023,163.76,,,,
04/25/2023,163.77,,,,
04/24/2023,165.33,,,,
04/21/2023,165.02,,,,
04/20/2023,166.65,,,,
04/19/2023,167.63,,,,
04/18/2023,166.47,,,,
04/17/2023,165.23,,,,
04/14/2023,165.21,,,,
04/13/2023,165.56,,,,
4/12/2023,160.1,,,,
4/11/2023,160.8,,,,
4/10/2023,162.03,,,,
4/6/2023,164.66,,,,
4/5/2023,163.76,,,,
4/4/2023,165.63,,,,
4/3/2023,166.17,,,,
03/31/2023,164.9,,,,
03/30/2023,162.36,,,,
03/29/2023,160.77,,,,
03/28/2023,157.65,,,,
03/27/2023,158.28,,,,
03/24/2023,160.25,,,,
03/23/2023,158.93,,,,
03/22/2023,157.83,,,,
03/21/2023,159.28,,,,
03/20/2023,157.4,,,,
03/17/2023,155,,,,
03/16/2023,155.85,,,,
03/15/2023,152.99,,,,
03/14/2023,152.59,,,,
03/13/2023,150.47,,,,
3/10/2023,148.5,,,,
3/9/2023,150.59,,,,
3/8/2023,152.87,,,,
3/7/2023,151.6,,,,
3/6/2023,153.83,,,,
3/3/2023,151.03,,,,
3/2/2023,145.91,,,,
3/1/2023,145.31,,,,
02/28/2023,147.41,,,,
02/27/2023,147.92,,,,
02/24/2023,146.71,,,,
02/23/2023,149.4,,,,
02/22/2023,148.91,,,,
02/21/2023,148.48,,,,
02/17/2023,152.55,,,,
02/16/2023,153.71,,,,
02/15/2023,155.33,,,,
02/14/2023,153.2,,,,
02/13/2023,153.85,,,,
2/10/2023,151.01,,,,
2/9/2023,150.87,,,,
2/8/2023,151.92,,,,
2/7/2023,154.65,,,,
2/6/2023,151.73,,,,
2/3/2023,154.5,,,,
2/2/2023,150.82,,,,
2/1/2023,145.43,,,,
